50,110,3.35E+17,1.64E+16,2.15E+13,2.95E+02,6.60E+11,1.37E+17,1.71E+17,1.64E+16,8.73E+13,4.87E+10,8.42E-05
100,110,2.59E+17,9.52E+15,8.15E+13,2.08E+05,7.70E+10,9.39E+16,9.04E+16,1.07E+16,1.52E+14,4.43E+11,1.99E+14
150,110,1.94E+17,5.67E+15,1.85E+14,5.10E+08,8.94E+10,7.27E+16,6.14E+16,6.14E+16,2.35E+14,1.70E+12,1.11E+14
200,110,1.58E+17,2.96E+15,3.54E+14,2.62E+08,1.65E+11,6.53E+16,4.75E+16,5.37E+15,2.97E+14,4.15E+12,1.49E+14
250,110,1.26E+17,1.07E+15,5.63E+14,9.46E+07,2.88E+11,5.34E+16,3.61E+16,3.84E+15,2.58E+14,4.82E+12,1.58E+14
300,110,1.22E+17,4.38E+14,7.63E+14,2.61E+06,4.13E+11,5.19E+16,3.42E+16,4.08E+15,2.12E+14,4.35E+12,1.26E+14
350,110,1.10E+17,1.29E+14,8.83E+14,1.70E+04,5.58E+11,4.87E+16,3.03E+16,4.11E+15,1.52E+14,3.59E+12,1.09E+14
400,110,1.00E+17,3.12E+13,9.42E+14,5.74E+03,7.44E+11,4.71E+16,2.73E+16,4.32E+15,1.13E+14,3.42E+12,1.05E+14
450,110,9.21E+16,9.86E+12,9.45E+14,2.61E+03,1.02E+12,4.58E+16,2.48E+16,4.67E+15,8.61E+13,3.65E+12,1.06E+14
500,110,8.58E+16,4.26E+12,8.99E+14,2.23E+03,1.47E+12,4.43E+16,2.29E+16,5.02E+15,6.53E+13,4.09E+12,1.09E+14
